,anno,provincia,comune,giorno,organo_di_rilevazione,localizzazione_incidente,denominazione_della_strada,tronco_di_strada_o_autostrada,tipo_di_strada,pavimentazione,intersezione_o_non_interse3,fondo_stradale,segnaletica,condizioni_meteorologiche,natura_incidente,tipo_veicolo_a,tipo_veicoli__b_,tipo_veicolo__c_,veicolo__a____circostanze_10,veicolo__a____circostanze_11,veicolo__b____circostanze_13,veicolo__b____circostanze_14,veicolo__a___anno_immatric18,immatricolazione_veicolo__b_,immatricolazione_veicolo__c_,veicolo__a___et__conducente,veicolo__a___sesso_conducente,veicolo__a___esito_conducente,veicolo__a___patente_condu29,veicolo__a___anno_rilascio30,veicolo__a___passeggeri_an35,veicolo__a___et__passegger36,veicolo__a___sesso_passegg37,veicolo__a___esito_passegg38,veicolo__a___et__passegger39,veicolo__a___sesso_passegg40,veicolo__a___esito_passegg41,veicolo__a___et__passegger42,veicolo__a___sesso_passegg43,veicolo__a___esito_passegg44,veicolo__a___et__passegger45,veicolo__a___sesso_passegg46,veicolo__a___altri_passegg47,veicolo__a___altri_passegg48,veicolo__a___altri_passegg49,veicolo__a___altri_passegg50,veicolo__b___et__conducente,veicolo__b___sesso_conducente,veicolo__b___esito_conducente,veicolo__b___patente_condu51,veicolo__b___anno_rilascio52,veicolo__b___passeggeri_an57,veicolo__b___et__passegger58,veicolo__b___sesso_passegg59,veicolo__b___esito_passegg60,veicolo__b___et__passegger61,veicolo__b___sesso_passegg62,veicolo__b___esito_passegg63,veicolo__b___et__passegger64,veicolo__b___sesso_passegg65,veicolo__b___esito_passegg66,veicolo__b___et__passegger67,veicolo__b___sesso_passegg68,veicolo__b___altri_passegg69,veicolo__b___altri_passegg70,veicolo__b___altri_passegg71,veicolo__b___altri_passegg72,veicolo__c___et__conducente,veicolo__c___sesso_conducente,veicolo__c___esito_conducente,veicolo__c___patente_condu73,veicolo__c___anno_rilascio74,veicolo__c___passeggeri_an79,veicolo__c___et__passegger80,veicolo__c___sesso_passegg81,veicolo__c___esito_passegg82,veicolo__c___et__passegger83,veicolo__c___sesso_passegg84,veicolo__c___esito_passegg85,veicolo__c___et__passegger86,veicolo__c___sesso_passegg87,veicolo__c___esito_passegg88,veicolo__c___et__passegger89,veicolo__c___sesso_passegg90,veicolo__c___altri_passegg91,veicolo__c___altri_passegg92,veicolo__c___altri_passegg93,veicolo__c___altri_passegg94,pedone_morto_1__sesso,pedone_morto_1__et_,pedone_ferito_1__sesso,pedone_ferito_1__et_,pedone_morto_2__sesso,pedone_morto_2__et_,pedone_ferito_2__sesso,pedone_ferito_2__et_,pedone_morto_3__sesso,pedone_morto_3__et_,pedone_ferito_3__sesso,pedone_ferito_3__et_,pedone_morto_4__sesso,pedone_morto_4__et_,pedone_ferito_4__sesso,pedone_ferito_4__et_,altri_veicoli_coinvolti,morti_maschi_coinvolti_su_95,morti_femmine_coinvolti_su96,feriti_maschi_coinvolti_su97,feriti_femmine_coinvolti_s98,morti_entro_24_ore,morti_entro_30_giorni,feriti,descrizione_strada,Ora,chilometri,ettometrica,trimestre
93788,16,15,146,2,1,7,R36,  ,1,1,8,2,4,3,8,1,  ,  ,61,  ,65,  ,           ,           ,           ,18-29,1,2,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,A50 - SVINCOLO CON COLLEGAMENTO SS11-33                  ,8,0000,100,3
93806,16,15,146,6,1,7,R20,  ,1,1,7,1,4,1,4,1,01,  ,20,  ,21,  ,           ,           ,           ,18-29,1,2,2,"(2011,2016]",2,45-54,3, ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,3,SVINCOLO A4 - MILANO VIALE CERTOSA                       ,12,0000,500,3
93840,16,15,146,2,1,1,000,12,1,1,1,1,1,1,3,16,01,  ,01,  ,05,  ,           ,           ,           ,30-44,1,2,2,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,n.i. ,1,1, ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,STRADA COMUNALE                                          ,21,0000,000,4
93842,16,15,146,2,1,1,000,12,2,1,3,1,4,1,4,1,17,  ,01,  ,18,  ,           ,           ,           ,65+  ,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,n.i. ,2,1, ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,STRADA COMUNALE                                          ,19,0000,000,4
93851,16,15,146,1,1,7,R36,  ,3,1,8,2,4,7,4,1,01,  ,20,  ,23,  ,2010       ,2007       ,           ,18-29,2,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,1,2,"(2001,2006]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,A50 - SVINCOLO CON COLLEGAMENTO SS11-33                  ,18,0000,036,4
93856,16,15,146,5,1,7,R20,  ,1,1,8,2,3,3,10,1,  ,  ,72,  ,73,  ,           ,           ,           ,18-29,1,2,2,"(2011,2016]",2,18-29,4, ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,SVINCOLO A4 - MILANO VIALE CERTOSA                       ,23,0000,330,4
93860,16,15,146,1,1,8,R36,12,1,1,3,1,4,1,3,1,01,  ,01,  ,02,  ,           ,           ,           ,18-29,2,2,2,"(2011,2016]",2,18-29,3, ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,COLL. STRADALE SS11 DA MOLINO DORINO ALL'A8              ,19,0000,900,4
93876,16,15,146,6,1,1,000,12,1,1,1,2,4,3,12,14,  ,  ,75,  ,75,  ,           ,           ,           ,30-44,1,2, ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,STRADA COMUNALE                                          ,19,0000,000,4
93903,16,15,146,2,1,7,R36,  ,1,1,7,1,4,1,4,1,01,  ,20,  ,21,  ,           ,           ,           ,30-44,2,2,2,"(2011,2016]",2,30-44,4, ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,3,A50 - SVINCOLO CON COLLEGAMENTO SS11-33                  ,1,0000,700,4
93907,16,15,146,2,1,1,000,12,2,1,2,1,4,1,3,16,01,  ,04,  ,01,  ,           ,           ,           ,45-54,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,n.i. ,1,1, ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,STRADA COMUNALE                                          ,18,0001,000,4
98399,16,15,146,4,4,1,   ,12,4,1,3,1,4,1,3,8,16,  ,15,  ,01,  ,2010       ,"(1976,1986]",           ,18-29,1,1,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,2,2,"(2001,2006]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,bastioni di Porta Nuova incrocio via Solferino           ,10,0,0,1
98400,16,15,146,5,4,1,   ,12,2,1,3,1,4,1,3,16,01,  ,01,  ,17,  ,2009       ,2014       ,           ,45-54,1,2,2,"(1986,1991]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,55-64,1,1,3,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,viale D'Annunzio Gabriele incrocio via Panzeri Pietro    ,22,0,0,1
98401,16,15,146,6,4,1,   ,12,3,1,3,2,4,3,10,15,  ,  ,70,  ,70,  ,2007       ,           ,           ,45-54,1,2,0,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,viale Umbria incrocio via Filippino degli Organi         ,19,0,0,1
98402,16,15,146,2,4,1,   ,12,3,1,7,1,4,1,4,1,01,01,22,  ,20,  ,"(2001,2006]",2014       ,"(2001,2006]",18-29,1,2,2,"(2011,2016]",2,30-44,3, ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,2,2,"(2001,2006]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,2, ,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,4,viale Bacchiglione fronte civico n  4                    ,11,0,0,1
98403,16,15,146,3,4,1,   ,12,2,1,7,1,4,1,10,16,  ,  ,71,  ,70,  ,2010       ,           ,           ,45-54,1,2,2,"(1986,1991]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"corso Italia, 39                                         ",10,0,0,1
98404,16,15,146,3,4,1,   ,12,1,1,5,1,1,1,2,1,16,  ,04,  ,01,  ,2014       ,"(2001,2006]",           ,45-54,1,1,2,"(1981,1986]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,65+  ,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,piazzale Lavater incrocio via G.B. Morgagni              ,13,0,0,1
98405,16,15,146,3,4,1,   ,12,2,1,7,1,4,1,8,14,  ,  ,60,  ,60,  ,           ,           ,           ,45-54,1,2,7,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Lombroso Cesare, 54                                  ",13,0,0,1
98406,16,15,146,3,4,1,   ,12,3,1,7,1,4,1,4,1,01,01,22,  ,20,  ,2011       ,2010       ,2010       ,65+  ,2,1,2,"(1986,1991]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,2,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"viale Corsica, 1                                         ",14,0,0,1
98407,16,15,146,3,4,1,   ,12,2,1,7,1,4,1,2,1,16,  ,30,  ,20,  ,"(2001,2006]",2011       ,           ,45-54,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,2,6,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via fratelli Zoia, 194                                   ",21,0,0,1
98408,16,15,146,4,4,1,   ,12,3,1,8,1,4,1,5,1,  ,  ,49,  ,53,  ,2011       ,           ,           ,30-44,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,4,18-29, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Bovisasca, palo luce 103                             ",13,0,0,1
98409,16,15,146,4,4,1,   ,12,1,1,7,1,4,1,2,1,16,  ,36,  ,20,  ,"(2001,2006]",2012       ,           ,45-54,1,1,2,"(1981,1986]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Cesana Bruno, 6                                      ",13,0,0,1
98410,16,15,146,5,4,1,   ,12,3,1,4,1,4,1,5,1,  ,  ,49,  ,53,  ,2007       ,           ,           ,30-44,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,3,55-64, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Monreale incrocio piazzale f.lli Zavattari           ,6,0,0,1
98411,16,15,146,5,4,1,   ,12,4,1,4,1,4,1,4,1,03,01,11,  ,01,  ,2012       ,2011       ,"(2001,2006]",30-44,2,2,2,"(2001,2006]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,1,2,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,2,2,"(1991,1996]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,viale Forlanini Enrico incrocio via Gatto Alfonso        ,7,0,0,1
98412,16,15,146,5,4,1,   ,12,1,1,7,1,4,1,5,1,  ,  ,40,  ,55,  ,"(2001,2006]",           ,           ,30-44,2,1,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,4,18-29, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via S.Dionigi, 40                                        ",8,0,0,1
98413,16,15,146,5,4,1,   ,12,2,1,7,1,4,1,2,1,15,  ,38,  ,20,  ,2007       ,2015       ,           ,45-54,1,1,2,"(2001,2006]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,2,9,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Valtellina, 36                                       ",13,0,0,1
98414,16,15,146,5,4,1,   ,12,4,1,7,1,4,1,4,1,01,  ,22,  ,20,  ,2007       ,           ,           ,55-64,2,1,2,"(2001,2006]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"viale Isonzo, 38                                         ",18,0,0,1
98415,16,15,146,6,4,1,   ,12,3,1,4,1,4,1,2,1,01,  ,02,  ,01,  ,2013       ,2013       ,           ,30-44,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,viale Papiniano incrocio via Dugnani Antonio             ,3,0,0,1
98416,16,15,146,7,4,1,   ,12,3,1,4,1,4,1,4,1,01,  ,11,  ,01,  ,2014       ,2014       ,           ,18-29,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,2,2,2,"(1996,2001]",2,18-29,4, ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,corso Lodi incrocio via Ponti della Priula               ,15,0,0,1
98417,16,15,146,1,4,1,   ,12,2,1,3,1,4,1,5,6,  ,  ,49,  ,53,  ,           ,           ,           ,30-44,1,1,4,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,4,18-29, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Sella Nuova incrocio via Sella Nuova                 ,8,0,0,1
